,Date,ITS_LIVE Mean Velocity,Mask Ratio
851,2020-09-11,1728.9,0.912
854,2020-09-14,1801.1,0.879
855,2020-09-15,1963.8,0.9
859,2020-09-16,1669.1,0.911
860,2020-09-18,1634.6,0.866
863,2020-09-20,1952.4,0.905
864,2020-09-21,1837.7,0.921
865,2020-09-24,1741.6,0.886
866,2020-09-26,1866.0,0.886
868,2020-09-27,1833.3,0.849
869,2020-10-03,1977.8,0.872
870,2020-10-04,1770.1,0.914
874,2020-10-09,1759.8,0.856
875,2020-10-14,1755.6,0.909
876,2020-10-15,1836.0,0.857
877,2020-10-18,2030.7,0.831
878,2020-10-20,1825.1,0.892
879,2020-10-21,1747.0,0.913
883,2020-10-26,1674.3,0.827
884,2020-10-27,1770.1,0.848
885,2020-11-02,1733.6,0.892
886,2020-11-07,1671.8,0.843
887,2020-11-08,1750.7,0.833
888,2020-11-20,1658.8,0.844
889,2020-11-23,1659.6,0.839
890,2020-11-25,1736.7,0.808
891,2020-11-26,1607.7,0.835
892,2020-12-05,1600.6,0.812
893,2020-12-07,1591.0,0.878
894,2020-12-08,1674.2,0.883
895,2020-12-13,1732.2,0.819
896,2020-12-14,1605.4,0.85
897,2020-12-19,1559.9,0.816
898,2020-12-20,1554.0,0.837
899,2020-12-23,1642.1,0.826
900,2020-12-25,1627.1,0.812
901,2020-12-26,1610.0,0.917
902,2020-12-29,1600.4,0.804
903,2020-12-31,1565.7,0.883
904,2021-01-06,1724.6,0.803
905,2021-01-11,1750.9,0.819
906,2021-01-17,1678.2,0.851
907,2021-01-24,1575.3,0.853
908,2021-02-21,1628.2,0.844
909,2021-02-28,1574.5,0.942
913,2021-03-08,1512.0,0.972
917,2021-03-17,1563.1,0.806
918,2021-03-20,1579.3,0.85
919,2021-03-29,1355.6,0.941
920,2021-04-04,1301.8,0.944
921,2021-04-10,1391.6,0.806
922,2021-04-13,1245.3,0.841
923,2021-04-16,1522.1,0.92
924,2021-04-22,1397.3,0.96
926,2021-04-24,1254.0,0.943
929,2021-04-26,1459.1,0.95
934,2021-04-27,1461.3,0.954
941,2021-04-28,1564.1,0.951
942,2021-04-29,1692.9,0.951
945,2021-04-30,1385.8,0.851
946,2021-05-01,1529.2,0.933
949,2021-05-02,1554.0,0.924
950,2021-05-03,1464.4,0.898
951,2021-05-04,1496.0,0.954
954,2021-05-06,1629.2,0.956
958,2021-05-08,1562.6,0.927
960,2021-05-09,1498.5,0.963
962,2021-05-11,1618.3,0.977
964,2021-05-13,1569.6,0.929
965,2021-05-16,1596.9,0.962
968,2021-05-18,1513.0,0.899
970,2021-05-19,1428.4,0.924
973,2021-05-21,1592.6,0.955
975,2021-05-23,1528.6,0.829
977,2021-05-26,1720.9,0.865
979,2021-05-28,1575.6,0.812
981,2021-05-31,1655.6,0.877
983,2021-06-02,1712.0,0.862
985,2021-06-05,1826.6,0.887
987,2021-06-06,1766.2,0.897
991,2021-06-08,1812.1,0.862
994,2021-06-13,1668.5,0.857
